log,label
"NonStart: Success, startup processing not required as expected.",Normal Activity
"Read out cached package applicability for package: Package_for_KB3161561~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112",Normal Activity
Session: 30546354_2965511798 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 183.62.140.253 port 46273 ssh2,Brute Force Attack
connection from 221.4.102.93 () at Thu Jul  7 23:09:45 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
suspicious malware process detected,Malware Activity
sudo access used by unauthorized account user1,Privilege Escalation
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB2972100~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Session: 30546174_44439548 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:22 2005,Normal Activity
Failed password for root from 183.62.140.253 port 32995 ssh2,Brute Force Attack
connection from 82.68.222.195 (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul 17 23:21:54 2005,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
check pass; user unknown,Brute Force Attack
session opened for user news by (uid=0),Normal Activity
malicious payload detected on system,Malware Activity
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
malware signature detected by security scanner,Malware Activity
session closed for user news,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed password for root from 187.141.143.180 port 34508 ssh2,Brute Force Attack
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB3170455~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
Connection closed by 181.214.87.4 [preauth],Brute Force Attack
Session: 30546174_91532242 initialized by client WindowsUpdateAgent.,Normal Activity
malware activity detected in system file,Malware Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.181.236.180  user=root,Brute Force Attack
jk2_init() Found child 1397 in scoreboard slot 7,Normal Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,Brute Force Attack
elevated privileges granted to unauthorized user user1,Privilege Escalation
Failed password for root from 183.62.140.253 port 59850 ssh2,Brute Force Attack
root privileges obtained by user root,Privilege Escalation
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
virus scan detected malicious executable,Malware Activity
sudo access used by unauthorized account admin,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB3109094~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
input_userauth_request: invalid user monitor [preauth],Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 4608 in scoreboard slot 6,Normal Activity
session closed for user cyrus,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB3156017~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
jk2_init() Found child 1448 in scoreboard slot 6,Normal Activity
"Read out cached package applicability for package: Package_for_KB3161949~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Failed password for invalid user monitor from 103.99.0.122 port 59812 ssh2,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.55.234.102,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2509553~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
Failed password for root from 183.62.140.253 port 36644 ssh2,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
jk2_init() Found child 3685 in scoreboard slot 6,Normal Activity
jk2_init() Found child 6302 in scoreboard slot 8,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
infected file detected during security scan,Malware Activity
sudo access used by unauthorized account guest,Privilege Escalation
Kerberos authentication failed,Normal Activity
user guest attempted unauthorized root access,Privilege Escalation
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
jk2_init() Found child 5941 in scoreboard slot 7,Normal Activity
"Read out cached package applicability for package: Package_for_KB3155178~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
